0;308,000;;;51.0;;;;;;;;;;;;;
1;313,000;;;;;;92.0;;;;;;;;;;
2;601,000;76.0;36.11;;;;;;;;;;;;;;
3;601,000;;;;;;;;;;;;;51365.0;104929.0;;
4;608,000;;;55.0;;;;;;;;;;;;;
5;610,000;;;;;;90.0;;;;;;;;;;
6;901,000;68.0;35.68;;;;;;;;;;;48260.0;116754.0;;
7;904,000;;;;;;94.0;;;;;;;;;;
8;909,000;;;47.0;;;;;;;;;;;;;
9;1201,000;39.0;34.73;;;;;;;;;;;33745.0;197056.0;;
10;1205,000;;;;;;92.0;;;;;;;;;;
11;1207,000;;;47.0;;;;;;;;;;;;;
12;1501,000;43.0;33.03;;;;;;;;;;;35125.0;146680.0;;
13;1509,000;;;57.0;;;91.0;;;;;;;;;;
14;1801,000;46.0;35.99;;;;;;;;;;;36144.0;129624.0;;
15;1806,000;;;;;;91.0;;;;;;;;;;
16;1809,000;;;55.0;;;;;;;;;;;;;
17;2101,000;47.0;35.81;;;;;;;;;;;36708.0;120108.0;;
18;2110,000;;;55.0;;;;;;;;;;;;;
19;2111,000;;;;;;91.0;;;;;;;;;;
20;2401,000;51.0;35.99;;;;;;;;;;;38191.0;107074.0;;
21;2405,000;;;;;;90.0;;;;;;;;;;
22;2408,000;;;54.0;;;;;;;;;;;;;
23;2701,000;44.0;35.99;;;;;;;;;;;;;;
24;2701,000;;;;;;;;;;;;;35376.0;138921.0;;
25;2706,000;;;;;;91.0;;;;;;;;;;
26;2712,000;;;57.0;;;;;;;;;;;;;
27;3001,000;50.0;35.77;;;;;;;;;;;38324.0;120749.0;;
28;3034,000;;;47.0;;;;;;;;;;;;;
29;3036,000;;;;;;92.0;;;;;;;;;;
30;3301,000;51.0;35.99;;;;;;;;;;;37970.0;;;
31;3301,000;;;;;;;;;;;;;;106020.0;;
32;3313,000;;;54.0;;;;;;;;;;;;;
33;3315,000;;;;;;90.0;;;;;;;;;;
34;3601,000;54.0;35.95;;;;;;;;;;;38904.0;98678.0;;
35;3608,000;;;50.0;;;;;;;;;;;;;
36;3609,000;;;;;;91.0;;;;;;;;;;
37;3901,000;56.0;36.03;;;;;;;;;;;39530.0;93833.0;;
38;3907,000;;;46.0;;;;;;;;;;;;;
39;3913,000;;;;;;90.0;;;;;;;;;;
40;4201,000;57.0;35.99;;;;;;;;;;;39954.0;90472.0;;
41;4210,000;;;;;;90.0;;;;;;;;;;
42;4211,000;;;46.0;;;;;;;;;;;;;
43;4501,000;58.0;36.03;;;;;;;;;;;40287.0;87239.0;;
44;4506,000;;;;;;90.0;;;;;;;;;;
45;4512,000;;;50.0;;;;;;;;;;;;;
46;4801,000;;35.99;;;;;;;;;;;;;;
47;4801,000;60.0;;;;;;;;;;;;40572.0;84551.0;;
48;4805,000;;;;;;90.0;;;;;;;;;;
