0;56,000;;;51.0;;;;;;;;;;;;;
1;63,000;;;;;;93.0;;;;;;;;;;
2;301,000;178.0;35.68;;;;;;;;;;;60017.0;30480.0;;
3;334,000;;;46.0;;;;;;;;;;;;;
4;601,000;200.0;35.5;;;;;;;;;;;64710.0;30928.0;;
5;664,000;;;52.0;;;;;;;;;;;;;
6;901,000;205.0;35.65;;;;;;;;;;;65976.0;31297.0;;
7;1013,000;;;53.0;;;;;;;;;;;;;
8;1201,000;204.0;35.5;;;;;;;;;;;66116.0;31546.0;;
9;1501,000;203.0;35.47;;;;;;;;;;;66002.0;31695.0;;
10;1801,000;199.0;35.33;;;;;;;;;;;65398.0;31870.0;;
11;1831,000;;;65.0;;;;;;;;;;;;;
12;1872,000;;;;;;93.0;;;;;;;;;;
13;2101,000;196.0;35.29;;;;;;;;;;;64886.0;31906.0;;
14;2401,000;191.0;;;;;;;;;;;;64024.0;32061.0;;
15;2401,000;;35.81;;;;;;;;;;;;;;
16;2701,000;188.0;35.84;;;;;;;;;;;63447.0;32108.0;;
17;3001,000;185.0;35.91;;;;;;;;;;;62839.0;32155.0;;
18;3054,000;;;54.0;;;;;;;;;;;;;
19;3301,000;183.0;35.73;;;;;;;;;;;62447.0;32151.0;;
20;3325,000;;;53.0;;;;;;;;;;;;;
21;3329,000;;;;;;93.0;;;;;;;;;;
22;3601,000;182.0;35.65;;;;;;;;;;;62187.0;32173.0;;
23;3901,000;179.0;35.77;;;;;;;;;;;61555.0;32237.0;;
24;4201,000;176.0;35.59;;;;;;;;;;;61072.0;32243.0;;
25;4501,000;173.0;35.77;;;;;;;;;;;60509.0;32298.0;;
26;4574,000;;;61.0;;;;;;;;;;;;;
27;4801,000;171.0;35.65;;;;;;;;;;;60057.0;32315.0;;
28;5101,000;170.0;35.59;;;;;;;;;;;59742.0;32265.0;;
29;5401,000;168.0;;;;;;;;;;;;;;;
30;5401,000;;35.77;;;;;;;;;;;59283.0;32249.0;;
31;5701,000;166.0;35.73;;;;;;;;;;;58929.0;32241.0;;
32;6001,000;165.0;35.73;;;;;;;;;;;58635.0;32220.0;;
33;6301,000;164.0;;;;;;;;;;;;58386.0;32198.0;;
34;6301,000;;35.59;;;;;;;;;;;;;;
35;6601,000;163.0;35.55;;;;;;;;;;;58183.0;32178.0;;
36;6901,000;162.0;35.33;;;;;;;;;;;57954.0;32161.0;;
37;7201,000;160.0;35.16;;;;;;;;;;;57619.0;32182.0;;
38;7501,000;159.0;35.13;;;;;;;;;;;57322.0;32173.0;;
39;7510,000;;;116.0;;;94.0;;;;;;;;;;
40;7801,000;156.0;35.16;;;;;;;;;;;56722.0;32182.0;;
41;7840,000;;;62.0;;;93.0;;;;;;;;;;
42;8101,000;156.0;;;;;;;;;;;;56569.0;;;
43;8101,000;;35.03;;;;;;;;;;;;32175.0;;
44;8401,000;154.0;35.29;;;;;;;;;;;56202.0;32197.0;;
45;8701,000;151.0;34.87;;;;;;;;;;;55560.0;32138.0;;
46;8794,000;;;105.0;;;94.0;;;;;;;;;;
47;9001,000;149.0;;;;;;;;;;;;55104.0;;;
48;9001,000;;35.13;;;;;;;;;;;;32145.0;;
49;9033,000;;;49.0;;;;;;;;;;;;;
50;9035,000;;;;;;94.0;;;;;;;;;;
51;9301,000;146.0;35.55;;;;;;;;;;;54356.0;32167.0;;
52;9601,000;144.0;35.65;;;;;;;;;;;53911.0;32226.0;;
53;9901,000;142.0;;;;;;;;;;;;53564.0;;;
54;9901,000;;35.81;;;;;;;;;;;;32243.0;;
55;10201,000;141.0;35.95;;;;;;;;;;;53307.0;32276.0;;
56;10501,000;140.0;35.95;;;;;;;;;;;53089.0;32277.0;;
57;10801,000;139.0;35.99;;;;;;;;;;;52780.0;32298.0;;
58;11101,000;138.0;35.99;;;;;;;;;;;52601.0;32321.0;;
59;11401,000;137.0;35.99;;;;;;;;;;;52419.0;32338.0;;
60;11701,000;135.0;35.91;;;;;;;;;;;51864.0;32302.0;;
61;12001,000;133.0;;;;;;;;;;;;;;;
62;12001,000;;35.95;;;;;;;;;;;51482.0;32300.0;;
63;12301,000;132.0;35.91;;;;;;;;;;;51328.0;32285.0;;
64;12601,000;132.0;35.84;;;;;;;;;;;51173.0;32281.0;;
65;12901,000;131.0;;;;;;;;;;;;51091.0;32264.0;;
66;12901,000;;35.81;;;;;;;;;;;;;;
67;13201,000;131.0;35.81;;;;;;;;;;;50875.0;32238.0;;
68;13320,000;;;53.0;;;;;;;;;;;;;
69;13501,000;131.0;35.25;;;;;;;;;;;50853.0;32168.0;;
70;13522,000;;;86.0;;;94.0;;;;;;;;;;
71;13801,000;132.0;;;;;;;;;;;;51241.0;;;
72;13801,000;;35.33;;;;;;;;;;;;32137.0;;
73;13844,000;;;64.0;;;;;;;;;;;;;
74;13845,000;;;;;;93.0;;;;;;;;;;
75;14101,000;130.0;35.55;;;;;;;;;;;50693.0;32143.0;;
76;14167,000;;;58.0;;;;;;;;;;;;;
77;14176,000;;;;;;93.0;;;;;;;;;;
78;14401,000;130.0;35.39;;;;;;;;;;;50542.0;32098.0;;
79;14414,000;;;58.0;;;;;;;;;;;;;
80;14424,000;;;;;;94.0;;;;;;;;;;
81;14701,000;128.0;35.47;;;;;;;;;;;50125.0;32088.0;;
82;15001,000;128.0;35.47;;;;;;;;;;;50180.0;32114.0;;
83;15070,000;;;66.0;;;93.0;;;;;;;;;;
84;15301,000;129.0;;;;;;;;;;;;50332.0;;;
85;15301,000;;35.47;;;;;;;;;;;;32103.0;;
86;15342,000;;;68.0;;;;;;;;;;;;;
87;15601,000;125.0;35.5;;;;;;;;;;;49340.0;32081.0;;
88;15620,000;;;61.0;;;;;;;;;;;;;
89;15901,000;124.0;35.33;;;;;;;;;;;49236.0;32055.0;;
90;15928,000;;;70.0;;;92.0;;;;;;;;;;
91;16201,000;126.0;35.39;;;;;;;;;;;49559.0;32040.0;;
92;16285,000;;;71.0;;;;;;;;;;;;;
93;16286,000;;;;;;93.0;;;;;;;;;;
94;16501,000;125.0;35.29;;;;;;;;;;;49351.0;32065.0;;
95;16560,000;;;56.0;;;;;;;;;;;;;
96;16562,000;;;;;;93.0;;;;;;;;;;
97;16801,000;121.0;;;;;;;;;;;;;;;
98;16801,000;;35.73;;;;;;;;;;;48341.0;32018.0;;
