0;348,000;;;54.0;;;94.0;;;;;;;;;;
1;601,000;143.0;35.43;;;;;;;;;;;;;;
2;601,000;;;;;;;;;;;;;54046.0;32624.0;;
3;901,000;182.0;35.73;;;;;;;;;;;64689.0;35408.0;;
4;1201,000;179.0;35.77;;;;;;;;;;;67188.0;40358.0;;
5;1501,000;174.0;35.84;;;;;;;;;;;68072.0;43492.0;;
6;1604,000;;;59.0;;;91.0;;;;;;;;;;
7;1801,000;173.0;35.84;;;;;;;;;;;68277.0;44401.0;;
8;2101,000;173.0;35.91;;;;;;;;;;;68390.0;44339.0;;
9;2174,000;;;58.0;;;;;;;;;;;;;
10;2181,000;;;;;;91.0;;;;;;;;;;
11;2401,000;183.0;35.84;;;;;;;;;;;;;;
12;2401,000;;;;;;;;;;;;;68927.0;41507.0;;
13;2415,000;;;57.0;;;;;;;;;;;;;
14;2417,000;;;;;;91.0;;;;;;;;;;
15;2701,000;179.0;35.91;;;;;;;;;;;67950.0;41242.0;;
16;3001,000;176.0;36.03;;;;;;;;;;;67438.0;41806.0;;
17;3301,000;172.0;36.07;;;;;;;;;;;;;;
18;3301,000;;;;;;;;;;;;;66963.0;42448.0;;
19;3601,000;172.0;36.43;;;;;;;;;;;66627.0;41794.0;;
20;3901,000;177.0;36.29;;;;;;;;;;;67188.0;41013.0;;
21;4201,000;171.0;36.25;;;;;;;;;;;66512.0;42235.0;;
22;4501,000;160.0;36.43;;;;;;;;;;;64501.0;43236.0;;
23;4801,000;162.0;36.59;;;;;;;;;;;64996.0;43538.0;;
24;5101,000;160.0;36.79;;;;;;;;;;;64656.0;43560.0;;
25;5401,000;;36.83;;;;;;;;;;;;;;
26;5401,000;144.0;;;;;;;;;;;;60646.0;44000.0;;
27;5701,000;119.0;36.87;;;;;;;;;;;55099.0;46848.0;;
28;6001,000;106.0;36.75;;;;;;;;;;;51708.0;48647.0;;
29;6301,000;95.0;36.75;;;;;;;;;;;48573.0;;;
30;6301,000;;;;;;;;;;;;;;50459.0;;
31;6601,000;96.0;36.75;;;;;;;;;;;48941.0;50218.0;;
32;6901,000;100.0;36.79;;;;;;;;;;;49603.0;48542.0;;
33;7201,000;101.0;36.75;;;;;;;;;;;49704.0;47625.0;;
34;7501,000;;36.79;;;;;;;;;;;;;;
35;7501,000;105.0;;;;;;;;;;;;50359.0;46242.0;;
36;7801,000;106.0;36.91;;;;;;;;;;;49910.0;43926.0;;
37;8101,000;108.0;36.95;;;;;;;;;;;50005.0;42633.0;;
38;8401,000;108.0;36.25;;;;;;;;;;;49428.0;;;
39;8401,000;;;;;;;;;;;;;;41471.0;;
40;8701,000;109.0;36.29;;;;;;;;;;;49538.0;40897.0;;
41;9001,000;110.0;36.37;;;;;;;;;;;49479.0;40287.0;;
42;9301,000;108.0;36.43;;;;;;;;;;;48593.0;39286.0;;
43;9601,000;;35.99;;;;;;;;;;;;;;
44;9601,000;108.0;;;;;;;;;;;;48114.0;38377.0;;
45;9901,000;107.0;35.81;;;;;;;;;;;47562.0;38014.0;;
46;10201,000;105.0;35.59;;;;;;;;;;;47197.0;37918.0;;
47;10501,000;107.0;35.43;;;;;;;;;;;;;;
48;10501,000;;;;;;;;;;;;;47405.0;37578.0;;
49;10801,000;105.0;35.39;;;;;;;;;;;46886.0;37587.0;;
50;11101,000;105.0;35.21;;;;;;;;;;;46857.0;37468.0;;
51;11401,000;106.0;35.13;;;;;;;;;;;47063.0;37258.0;;
52;11701,000;106.0;35.07;;;;;;;;;;;47007.0;36870.0;;
53;12001,000;108.0;34.87;;;;;;;;;;;47207.0;36304.0;;
54;12301,000;106.0;34.91;;;;;;;;;;;46786.0;36395.0;;
55;12601,000;106.0;34.77;;;;;;;;;;;;;;
56;12601,000;;;;;;;;;;;;;46578.0;36341.0;;
57;12901,000;107.0;34.81;;;;;;;;;;;46812.0;35966.0;;
58;13201,000;107.0;35.07;;;;;;;;;;;46597.0;35733.0;;
59;13501,000;105.0;35.16;;;;;;;;;;;46158.0;35617.0;;
60;13801,000;104.0;35.43;;;;;;;;;;;45678.0;35403.0;;
61;14101,000;104.0;35.43;;;;;;;;;;;45599.0;35210.0;;
62;14401,000;104.0;35.43;;;;;;;;;;;45468.0;35053.0;;
63;14701,000;104.0;35.43;;;;;;;;;;;;;;
64;14701,000;;;;;;;;;;;;;45400.0;34946.0;;
65;15001,000;102.0;34.99;;;;;;;;;;;44984.0;34911.0;;
66;15301,000;100.0;35.25;;;;;;;;;;;44335.0;34867.0;;
67;15601,000;98.0;35.21;;;;;;;;;;;43894.0;34973.0;;
68;15901,000;96.0;35.29;;;;;;;;;;;43492.0;35400.0;;
69;16201,000;95.0;35.43;;;;;;;;;;;43125.0;35714.0;;
70;16501,000;96.0;35.84;;;;;;;;;;;43168.0;35154.0;;
71;16801,000;;35.73;;;;;;;;;;;;;;
72;16801,000;95.0;;;;;;;;;;;;42960.0;35117.0;;
73;17101,000;96.0;35.43;;;;;;;;;;;43109.0;35074.0;;
74;17401,000;95.0;35.25;;;;;;;;;;;42862.0;35102.0;;
75;17701,000;95.0;35.13;;;;;;;;;;;43008.0;;;
76;17701,000;;;;;;;;;;;;;;35055.0;;
77;18001,000;96.0;34.95;;;;;;;;;;;43001.0;34867.0;;
78;18301,000;96.0;34.91;;;;;;;;;;;42970.0;34543.0;;
79;18601,000;97.0;34.81;;;;;;;;;;;43017.0;34252.0;;
80;18901,000;;34.5;;;;;;;;;;;;;;
81;18901,000;90.0;;;;;;;;;;;;40813.0;33797.0;;
82;19201,000;91.0;34.34;;;;;;;;;;;41254.0;33752.0;;
83;19501,000;91.0;34.55;;;;;;;;;;;41260.0;33678.0;;
84;19801,000;92.0;34.39;;;;;;;;;;;41283.0;;;
85;19801,000;;;;;;;;;;;;;;33581.0;;
86;20101,000;91.0;34.43;;;;;;;;;;;41081.0;33674.0;;
87;20401,000;91.0;34.34;;;;;;;;;;;41172.0;33828.0;;
88;20701,000;91.0;34.47;;;;;;;;;;;41109.0;33619.0;;
89;21001,000;;34.21;;;;;;;;;;;;;;
90;21001,000;91.0;;;;;;;;;;;;41066.0;33562.0;;
91;21301,000;90.0;34.21;;;;;;;;;;;40854.0;33658.0;;
92;21601,000;85.0;34.16;;;;;;;;;;;39148.0;32880.0;;
93;21901,000;85.0;34.39;;;;;;;;;;;;;;
94;21901,000;;;;;;;;;;;;;39155.0;32903.0;;
95;22201,000;85.0;34.5;;;;;;;;;;;39087.0;32889.0;;
96;22501,000;85.0;34.87;;;;;;;;;;;38962.0;32847.0;;
97;22801,000;83.0;34.95;;;;;;;;;;;38369.0;32847.0;;
98;23101,000;81.0;35.03;;;;;;;;;;;37854.0;32927.0;;
99;23401,000;80.0;35.25;;;;;;;;;;;37599.0;33000.0;;
100;23701,000;79.0;35.33;;;;;;;;;;;37248.0;33136.0;;
101;24001,000;78.0;35.43;;;;;;;;;;;;;;
102;24001,000;;;;;;;;;;;;;37160.0;33194.0;;
103;24301,000;70.0;35.55;;;;;;;;;;;35412.0;35779.0;;
104;24601,000;65.0;35.55;;;;;;;;;;;34009.0;36302.0;;
105;24901,000;63.0;35.5;;;;;;;;;;;33364.0;36393.0;;
106;25201,000;64.0;35.65;;;;;;;;;;;34461.0;39230.0;;
107;25501,000;62.0;35.47;;;;;;;;;;;32988.0;37280.0;;
108;25801,000;55.0;35.59;;;;;;;;;;;30892.0;38869.0;;
109;26101,000;56.0;35.91;;;;;;;;;;;;;;
110;26101,000;;;;;;;;;;;;;30880.0;37226.0;;
