0;182,000;189.0;;;;;;;;;;;;;;;
1;182,000;;;;;;;;;;;;;61625.0;29595.0;;
2;211,000;;;79.0;;;97.53;;;;;;;;;;
3;301,000;;;;;;;30.0;;;;;;;;;
4;362,000;210.0;;;;;;;;;;;;65508.0;29575.0;;
5;391,000;;;79.0;;;98.74;;;;;;;;;;
6;542,000;219.0;;;;;;;;;;;;67033.0;29521.0;;
7;571,000;;;;;;98.61;;;;;;;;;;
8;571,000;;;76.0;;;;;;;;;;;;;
9;601,000;;35.99;;;;;6.0;;;;;;;;;
10;722,000;222.0;;;;;;;;;;;;67565.0;29426.0;;
11;751,000;;;86.0;;;96.39;;;;;;;;;;
12;901,000;;;;;;;10.0;;;;;;;;;
13;902,000;222.0;;;;;;;;;;;;67576.0;29424.0;;
14;931,000;;;74.0;;;97.91;;;;;;;;;;
15;1082,000;221.0;;;;;;;;;;;;67324.0;29422.0;;
16;1111,000;;;71.0;;;94.24;;;;;;;;;;
17;1201,000;;36.25;;;;;0.0;;;;;;;;;
18;1262,000;219.0;;;;;;;;;;;;67072.0;29421.0;;
19;1291,000;;;74.0;;;95.16;;;;;;;;;;
20;1442,000;216.0;;;;;;;;;;;;66563.0;;;
21;1442,000;;;;;;;;;;;;;;29526.0;;
22;1471,000;;;87.0;;;98.79;;;;;;;;;;
23;1501,000;;;;;;;6.0;;;;;;;;;
24;1622,000;213.0;;;;;;;;;;;;66130.0;29600.0;;
25;1651,000;;;73.0;;;98.5;;;;;;;;;;
26;1801,000;210.0;36.75;;;;;0.0;;;;;;65631.0;29684.0;;
27;1831,000;;;75.0;;;98.81;;;;;;;;;;
28;1982,000;207.0;;;;;;;;;;;;65182.0;29760.0;;
29;2011,000;;;74.0;;;98.86;;;;;;;;;;
30;2101,000;;;;;;;0.0;;;;;;;;;
31;2162,000;205.0;;;;;;;;;;;;64737.0;29838.0;;
32;2191,000;;;72.0;;;98.86;;;;;;;;;;
33;2342,000;202.0;;;;;;;;;;;;64346.0;29897.0;;
34;2371,000;;;74.0;;;98.53;;;;;;;;;;
35;2401,000;;36.75;;;;;0.0;;;;;;;;;
36;2522,000;200.0;;;;;;;;;;;;63949.0;29960.0;;
37;2551,000;;;78.0;;;98.83;;;;;;;;;;
38;2701,000;;;;;;;0.0;;;;;;;;;
39;2702,000;198.0;;;;;;;;;;;;;;;
40;2702,000;;;;;;;;;;;;;63574.0;30029.0;;
41;2731,000;;;76.0;;;98.9;;;;;;;;;;
42;2882,000;196.0;;;;;;;;;;;;63274.0;30114.0;;
43;2911,000;;;77.0;;;98.72;;;;;;;;;;
44;3001,000;;36.87;;;;;0.0;;;;;;;;;
45;3062,000;193.0;;;;;;;;;;;;62893.0;30213.0;;
46;3091,000;;;76.0;;;98.66;;;;;;;;;;
47;3242,000;191.0;;;;;;;;;;;;62600.0;30333.0;;
48;3271,000;;;76.0;;;98.7;;;;;;;;;;
49;3301,000;;;;;;;0.0;;;;;;;;;
50;3422,000;189.0;;;;;;;;;;;;62329.0;30438.0;;
51;3451,000;;;78.0;;;98.72;;;;;;;;;;
52;3601,000;;36.91;;;;;;;;;;;;;;
53;3601,000;;;;;;;0.0;;;;;;;;;
54;3602,000;187.0;;;;;;;;;;;;61993.0;30574.0;;
55;3631,000;;;78.0;;;98.74;;;;;;;;;;
56;3782,000;186.0;;;;;;;;;;;;61732.0;30615.0;;
57;3811,000;;;84.0;;;98.87;;;;;;;;;;
58;3901,000;;;;;;;0.0;;;;;;;;;
59;3962,000;184.0;;;;;;;;;;;;61520.0;;;
60;3962,000;;;;;;;;;;;;;;30677.0;;
61;3991,000;;;77.0;;;98.73;;;;;;;;;;
62;4142,000;183.0;;;;;;;;;;;;61232.0;30745.0;;
63;4171,000;;;76.0;;;98.87;;;;;;;;;;
64;4201,000;;36.87;;;;;0.0;;;;;;;;;
65;4322,000;181.0;;;;;;;;;;;;60921.0;30828.0;;
66;4351,000;;;72.0;;;98.88;;;;;;;;;;
67;4501,000;;;;;;;17.0;;;;;;;;;
68;4502,000;179.0;;;;;;;;;;;;60560.0;30807.0;;
69;4532,000;;;86.0;;;98.37;;;;;;;;;;
70;4682,000;177.0;;;;;;;;;;;;60164.0;30769.0;;
71;4711,000;;;71.0;;;97.24;;;;;;;;;;
72;4801,000;;36.83;;;;;;;;;;;;;;
73;4801,000;;;;;;;7.0;;;;;;;;;
74;4862,000;177.0;;;;;;;;;;;;60037.0;30789.0;;
